epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7182,1.75796,4.44256,1.45598,0.00566,0.8,0.00735,0.00239,1.3935,3.73404,1.08494,6.668e-05,6.668e-05,6.668e-05
2,39.9506,1.32226,3.86383,1.16982,0.00674,1,0.02609,0.01431,1.13177,3.54631,0.96132,0.000148173,0.000148173,0.000148173
3,60.8671,1.24925,3.22593,1.11587,0.0067,1,0.04742,0.02803,1.06797,3.4839,0.92157,0.000227604,0.000227604,0.000227604
4,80.316,1.30507,2.25959,1.10393,0.0067,1,0.21908,0.11932,1.07142,3.22642,0.89719,0.000304971,0.000304971,0.000304971
5,97.377,1.3301,1.75271,1.07816,0.00669,1,0.94818,0.63144,1.07443,3.03771,0.92012,0.000380276,0.000380276,0.000380276
6,114.21,1.1386,1.42879,1.02259,0.00669,1,0.89994,0.62096,1.11337,2.97118,0.93045,0.000453518,0.000453518,0.000453518
7,130.999,1.18227,1.62784,1.01477,0.00668,1,0.995,0.69233,1.08984,2.89661,0.92557,0.000524697,0.000524697,0.000524697
8,156.649,1.13983,1.33381,0.99699,0.00671,1,0.995,0.67428,1.12481,2.81876,0.92204,0.000593812,0.000593812,0.000593812
9,175.986,1.14397,1.44829,0.99617,0.00679,1,0.97132,0.67608,1.10966,2.77869,0.91286,0.000660865,0.000660865,0.000660865
10,194.44,1.1182,1.28866,0.9903,0.95676,0.50267,0.68768,0.43294,1.20969,2.84402,0.96115,0.000725856,0.000725856,0.000725856
11,213.542,1.23125,1.34304,1.01779,0.00671,1,0.77611,0.509,1.19645,2.80894,0.97064,0.000788783,0.000788783,0.000788783
12,232.545,1.11365,1.26729,1.00723,1,0.40443,0.90801,0.65912,1.05011,2.67099,0.93043,0.000849647,0.000849647,0.000849647
13,251.679,1.10291,1.23516,0.99067,1,0.37273,0.89775,0.66147,1.01727,2.67518,0.91518,0.000908448,0.000908448,0.000908448
14,269.717,1.13718,1.32867,1.04071,1,0.37273,0.89775,0.66147,1.01727,2.67518,0.91518,0.000965187,0.000965187,0.000965187
15,286.205,1.06932,1.27228,0.98224,0.99361,0.5,0.85648,0.61692,1.05314,2.721,0.92083,0.00101986,0.00101986,0.00101986
16,302.365,1.05283,1.17427,0.96499,1,0.30121,0.995,0.70406,1.15197,2.3352,0.93734,0.00107247,0.00107247,0.00107247
17,319.363,1.05767,1.10321,0.99367,1,0.81097,0.995,0.68228,1.25745,2.05597,0.96812,0.00112302,0.00112302,0.00112302
18,338.015,1.04241,1.09382,0.9792,1,0.81097,0.995,0.68228,1.25745,2.05597,0.96812,0.00117151,0.00117151,0.00117151
19,357.966,1.05941,1.08838,0.99509,1,0.83629,0.995,0.71351,1.10816,2.07963,0.93042,0.00121794,0.00121794,0.00121794
20,376.217,1.02197,1.09973,0.97394,0.94462,0.96689,0.995,0.68837,1.10027,1.69739,0.91516,0.0012623,0.0012623,0.0012623
21,406.74,1.03587,1.08789,0.97944,0.94462,0.96689,0.995,0.68837,1.10027,1.69739,0.91516,0.00125442,0.00125442,0.00125442
