epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,803.941,0.98329,2.93194,1.58564,0.4408,0.66998,0.55765,0.48259,0.53434,2.83138,1.44019,0.000275931,0.000275931,0.000275931
2,1406.35,0.58361,1.82977,1.19434,0.56818,0.67972,0.7009,0.64872,0.39875,2.20068,1.37607,0.000548117,0.000548117,0.000548117
3,1840.56,0.52125,1.57853,1.12943,0.55902,0.8534,0.74354,0.71833,0.32146,1.77399,1.25366,0.000814806,0.000814806,0.000814806
4,2232.86,0.50489,1.4127,1.12731,0.58793,0.91036,0.80339,0.79763,0.24031,1.41417,1.18363,0.00080826,0.00080826,0.00080826
5,2644.07,0.46691,1.27072,1.09792,0.61599,0.75911,0.73522,0.70021,0.34797,1.57456,1.26155,0.000800013,0.000800013,0.000800013
6,3051.29,0.43139,1.14111,1.08362,0.77063,0.89332,0.88353,0.86082,0.26751,0.9839,1.23665,0.000791767,0.000791767,0.000791767
7,3453.3,0.41215,1.09462,1.07323,0.77056,0.86565,0.88001,0.82348,0.37474,1.01735,1.34148,0.00078352,0.00078352,0.00078352
8,3855.65,0.39376,1.01397,1.06027,0.72469,0.87149,0.87822,0.86161,0.23257,1.05478,1.1915,0.000775273,0.000775273,0.000775273
9,4257.83,0.39966,0.97732,1.05445,0.74475,0.90851,0.89164,0.86318,0.29462,0.8689,1.24872,0.000767026,0.000767026,0.000767026
10,4662.18,0.37289,0.90878,1.04616,0.77166,0.92891,0.89636,0.8021,0.48849,0.86898,1.5095,0.00075878,0.00075878,0.00075878
11,5043.79,0.36928,0.9363,1.04129,0.79339,0.88191,0.88783,0.86432,0.25656,0.82145,1.20641,0.000750533,0.000750533,0.000750533
12,5441.01,0.36601,0.87772,1.04072,0.73273,0.89345,0.89312,0.88844,0.23428,0.8971,1.15434,0.000742286,0.000742286,0.000742286
13,5837.48,0.35589,0.83306,1.02822,0.86931,0.91534,0.93183,0.88394,0.34698,0.68993,1.28987,0.00073404,0.00073404,0.00073404
14,6314.42,0.33929,0.79017,1.01979,0.89936,0.7958,0.92176,0.89487,0.29831,0.70471,1.23819,0.000725793,0.000725793,0.000725793
15,6865.43,0.35785,0.79033,1.03508,0.80448,0.93416,0.92322,0.88402,0.30663,0.67234,1.24599,0.000717546,0.000717546,0.000717546
16,7414.26,0.3275,0.76648,1.01294,0.7546,0.9343,0.91618,0.88345,0.29453,0.68175,1.20824,0.000709299,0.000709299,0.000709299
17,7960.93,0.31577,0.77317,1.01038,0.76239,0.93941,0.92462,0.91048,0.18515,0.61923,1.13175,0.000701053,0.000701053,0.000701053
18,8502.81,0.33123,0.74808,1.02269,0.90198,0.90087,0.93541,0.89847,0.26314,0.56857,1.1968,0.000692806,0.000692806,0.000692806
19,9045.53,0.31924,0.74681,1.01653,0.86613,0.88017,0.93114,0.92091,0.22795,0.52233,1.16443,0.000684559,0.000684559,0.000684559
20,9621.94,0.31827,0.68911,1.01783,0.89003,0.90916,0.93593,0.89785,0.31822,0.53164,1.23813,0.000676313,0.000676313,0.000676313
21,10200.5,0.30497,0.71082,1.01252,0.86897,0.8155,0.9198,0.90133,0.25529,0.60761,1.17743,0.000668066,0.000668066,0.000668066
22,10765.3,0.30279,0.69238,1.00078,0.77588,0.94951,0.93746,0.92024,0.21668,0.56999,1.16018,0.000659819,0.000659819,0.000659819
23,11299.5,0.30676,0.67724,1.00497,0.78785,0.95972,0.91957,0.9008,0.2288,0.56927,1.17176,0.000651573,0.000651573,0.000651573
24,11856.2,0.30094,0.65659,0.99887,0.8517,0.94342,0.93293,0.93167,0.17399,0.48747,1.12126,0.000643326,0.000643326,0.000643326
25,149158,0.29957,0.64106,1.0035,0.8814,0.91752,0.9317,0.88079,0.34523,0.48493,1.25751,0.000635079,0.000635079,0.000635079
26,149639,0.30196,0.65188,1.00572,0.92584,0.91531,0.95844,0.95818,0.17769,0.43552,1.11495,0.000626832,0.000626832,0.000626832
27,150073,0.29017,0.61038,0.9944,0.9228,0.91464,0.94066,0.90291,0.31059,0.43766,1.23162,0.000618586,0.000618586,0.000618586
